"","x"
"1",2
"2",2
"3",1
"4",1
"5",1
"6",1
"7",2
"8",2
"9",2
"10",2
"11",2
"12",1
"13",1
"14",1
"15",1
"16",2
"17",2
"18",1
"19",1
"20",2
"21",2
"22",2
"23",2
"24",1
"25",1
"26",1
"27",1
"28",1
"29",2
"30",2
"31",2
"32",1
"33",1
"34",2
"35",2
"36",1
"37",2
"38",1
"39",2
"40",2
"41",2
"42",1
"43",2
"44",2
"45",1
"46",2
"47",2
"48",2
"49",1
"50",2
"51",2
"52",1
"53",2
"54",2
"55",1
"56",2
"57",1
"58",2
"59",1
"60",1
"61",1
"62",2
"63",2
"64",1
"65",2
"66",2
"67",2
"68",2
"69",1
"70",2
"71",2
"72",2
"73",2
"74",2
"75",2
"76",1
"77",1
"78",1
"79",1
"80",2
"81",1
"82",1
"83",2
"84",2
"85",1
"86",2
"87",1
"88",1
"89",2
"90",1
"91",2
"92",1
"93",2
"94",1
"95",2
"96",2
"97",2
"98",1
"99",1
"100",1
"101",1
"102",2
"103",1
"104",1
"105",1
"106",2
"107",1
"108",2
"109",2
"110",2
"111",2
"112",1
"113",1
"114",1
"115",2
"116",2
"117",1
"118",2
"119",2
"120",1
"121",1
"122",2
"123",2
"124",1
"125",1
"126",2
"127",1
"128",1
"129",2
"130",2
"131",1
"132",2
"133",2
"134",2
"135",2
"136",1
"137",1
"138",2
"139",2
"140",2
"141",2
"142",1
"143",1
"144",1
"145",2
"146",1
"147",2
"148",2
"149",2
"150",1
"151",1
"152",2
"153",2
"154",2
"155",2
"156",1
"157",1
"158",2
"159",2
"160",2
"161",1
"162",2
"163",2
"164",2
"165",1
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",2
"173",1
"174",1
"175",2
"176",2
"177",2
"178",2
"179",2
"180",1
"181",2
"182",2
"183",2
"184",1
"185",1
"186",2
"187",1
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",2
"196",2
"197",2
"198",1
"199",1
"200",2
"201",2
"202",2
"203",2
"204",1
"205",2
"206",2
"207",2
"208",1
"209",2
"210",1
"211",1
"212",2
"213",1
"214",2
